pump_l	pow_lin	freq_qu	Ic	Qc
1.000000000000000056e-01	1.000000000000000021e-02	3.500000000000000000e+00	-6.250070131335235153e-03	9.902434994205394983e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.500160000000000160e+00	-6.530984067807255565e-03	1.000930789764914626e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.500319999999999876e+00	-6.400416224273134704e-03	1.019914168155562802e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.500480000000000036e+00	-6.401005359794801133e-03	9.358338391195125672e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.500640000000000196e+00	-6.147667556419207473e-03	9.850186645463167648e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.500799999999999912e+00	-6.154373111000071422e-03	9.738285615627739061e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.500960000000000072e+00	-6.262333703962347752e-03	9.922146486407611848e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.501119999999999788e+00	-6.213808144243998174e-03	9.365642207368810035e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.501279999999999948e+00	-6.263828978672172747e-03	9.713660464099114003e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.501440000000000108e+00	-6.319949484910629932e-03	9.790862271245622320e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.501599999999999824e+00	-6.500435058893959742e-03	9.652980686203882152e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.501759999999999984e+00	-6.466031489628131998e-03	9.777547244366953036e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.501920000000000144e+00	-6.258842392538667941e-03	1.030963665030438722e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.502079999999999860e+00	-6.576066377872052428e-03	9.678211969853628763e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.502240000000000020e+00	-6.331564517767299984e-03	9.772341572583942426e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.502400000000000180e+00	-6.360542014954307169e-03	9.814934444344732001e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.502559999999999896e+00	-6.221812806244137600e-03	9.994831547259911894e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.502720000000000056e+00	-6.109442947600916655e-03	9.706304517969027712e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.502880000000000216e+00	-6.262178959178290802e-03	9.801045605416412732e-03
